Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Edge Chromium 108,,,2023-01-04 14:05:27,2023-01-04 14:05:27,0.400s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_24""))",Edge Chromium 108,,,2023-01-04 14:05:27,2023-01-04 14:05:27,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/body_CURA Healthcare                       _9d7cae""))",Edge Chromium 108,,,2023-01-04 14:05:27,2023-01-04 14:05:28,0.479s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/form_Facility                              _20adf0""))",Edge Chromium 108,,,2023-01-04 14:05:28,2023-01-04 14:05:28,0.467s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Demo comment test"")",Edge Chromium 108,,,2023-01-04 14:05:28,2023-01-04 14:05:29,0.820s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Edge Chromium 108,,,2023-01-04 14:05:29,2023-01-04 14:05:30,0.475s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Edge Chromium 108,,,2023-01-04 14:05:30,2023-01-04 14:05:30,0.522s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""), ""Please be informed that your appointment has been booked as following:"")",Edge Chromium 108,,,2023-01-04 14:05:30,2023-01-04 14:05:31,0.440s,PASSED
closeBrowser(),Edge Chromium 108,,,2023-01-04 14:05:31,2023-01-04 14:05:31,0.743s,PASSED
,,,,,,,
Test Cases/SmokeTest/Test2_ManualMode,Edge Chromium 108,,,2023-01-04 14:05:31,2023-01-04 14:05:42,10.965s,PASSED
"openBrowser("""")",Edge Chromium 108,,,2023-01-04 14:05:32,2023-01-04 14:05:33,1.239s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com"")",Edge Chromium 108,,,2023-01-04 14:05:33,2023-01-04 14:05:35,2.080s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_Username_username""), ""Admin"")",Edge Chromium 108,,,2023-01-04 14:05:35,2023-01-04 14:05:36,1.186s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Edge Chromium 108,,,2023-01-04 14:05:36,2023-01-04 14:05:37,0.429s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Edge Chromium 108,,,2023-01-04 14:05:37,2023-01-04 14:05:37,0.340s,PASSED
delay(2),Edge Chromium 108,,,2023-01-04 14:05:37,2023-01-04 14:05:39,2.036s,PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/input_Admin_oxd-input oxd-input--focus""), 30)",Edge Chromium 108,,,2023-01-04 14:05:39,2023-01-04 14:05:40,0.678s,PASSED
delay(2),Edge Chromium 108,,,2023-01-04 14:05:40,2023-01-04 14:05:42,2.014s,PASSED
closeBrowser(),Edge Chromium 108,,,2023-01-04 14:05:42,2023-01-04 14:05:42,0.743s,PASSED
,,,,,,,
Test Cases/SmokeTest/Test3_ScriptMode,Edge Chromium 108,,,2023-01-04 14:05:42,2023-01-04 14:05:49,6.619s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com"")",Edge Chromium 108,,,2023-01-04 14:05:43,2023-01-04 14:05:46,3.325s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Edge Chromium 108,,,2023-01-04 14:05:46,2023-01-04 14:05:47,1.168s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""admin123"")",Edge Chromium 108,,,2023-01-04 14:05:47,2023-01-04 14:05:48,0.679s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Edge Chromium 108,,,2023-01-04 14:05:48,2023-01-04 14:05:48,0.531s,PASSED
closeBrowser(),Edge Chromium 108,,,2023-01-04 14:05:48,2023-01-04 14:05:49,0.719s,PASSED
